Study,Week ,mean1,SD1,mean2,SD2,n1,n2,HighROB,ShamECT,TRS,Indicated,
Abraham 1987,0,22.36,4.8,22.09,6.07,11,11,1,1,0,0,1= ECT+AP
Abraham 1987,2,13.45,6.99,19.55,7.33,11,11,1,1,0,0,2= AP
Abraham 1987,4,10.54,4.33,17.09,7.79,11,11,1,1,0,0,
Abraham 1987,6,8.64,3.11,15.91,8.23,11,11,1,1,0,0,
Abraham 1987,8,8.36,4.03,15,9.26,11,11,1,1,0,0,
Abraham 1987,12,6.64,3.58,12.64,8.32,11,11,1,1,0,0,
Abraham 1987,16,6.73,3.66,10.36,7.7,11,11,1,1,0,0,
Abraham 1987,20,6.36,2.83,9.55,8.97,11,11,1,1,0,0,
Abraham 1987,26,5.36,3.58,10.36,9.02,11,11,1,1,0,0,
Agrawal 1985,0,46.33,8.25,52,10.52,15,15,0,1,0,1,
Agrawal 1985,1,44.13,7.08,47.53,9.04,15,15,0,1,0,1,
Agrawal 1985,2,42.33,6.63,45,9.78,15,15,0,1,0,1,
Agrawal 1985,3,36.4,7.02,42.13,9.09,15,15,0,1,0,1,
Agrawal 1985,5,32.2,7.18,40.46,9.32,15,15,0,1,0,1,
Agrawal 1985,7,30.27,8.91,36.6,9.11,15,15,0,1,0,1,
Brandon 1985,0,9,3.9,12,4.48,9,8,1,1,0,1,
Brandon 1985,2,3,3.9,8,3.92,9,8,1,1,0,1,
Brandon 1985,4,3,3.6,9,5.04,9,8,1,1,0,1,
Brandon 1985,12,4,4.8,3,2.8,9,8,1,1,0,1,
Brandon 1985,28,3,3.3,4,3.64,9,8,1,1,0,1,
Goswami 2003,0,50.1,3.9,55,7.2,15,10,1,1,1,1,
Goswami 2003,1,45.6,5.8,52.6,7.8,15,10,1,1,1,1,
Goswami 2003,2,42.6,7,48.6,7.9,15,10,1,1,1,1,
Goswami 2003,3,42.2,8,47.6,8.6,15,10,1,1,1,1,
Goswami 2003,4,40.4,10,44,7.6,15,10,1,1,1,1,
Janakiramaiah 1982a,0,25.3,,25.7,,15,15,0,1,0,0,
Janakiramaiah 1982a,1,15,,15.9,,15,15,0,1,0,0,
Janakiramaiah 1982a,2,11.1,,16.4,,15,15,0,1,0,0,
Janakiramaiah 1982a,3,5.1,,12.7,,15,15,0,1,0,0,
Janakiramaiah 1982a,4,5.5,,11.5,,15,15,0,1,0,0,
Janakiramaiah 1982a,5,3.7,,7.9,,15,15,0,1,0,0,
Janakiramaiah 1982a,6,4.4,,6.8,,15,15,0,1,0,0,
Janakiramaiah 1982b,0,25.3,,26.1,,15,15,0,1,0,0,
Janakiramaiah 1982b,1,10.1,,14.7,,15,15,0,1,0,0,
Janakiramaiah 1982b,2,7.5,,8.7,,15,15,0,1,0,0,
Janakiramaiah 1982b,3,5.9,,5.1,,15,15,0,1,0,0,
Janakiramaiah 1982b,4,5.1,,3.7,,15,15,0,1,0,0,
Janakiramaiah 1982b,5,3.8,,3.3,,15,15,0,1,0,0,
Janakiramaiah 1982b,6,3.8,,4.5,,15,15,0,1,0,0,
Petrides 2015,0,16.37,1.21,17.1,0.9,20,19,0,0,1,1,
Petrides 2015,1,14.55,1.06,15.9,1.06,20,19,0,0,1,1,
Petrides 2015,2,13.18,1.21,15.3,1.06,20,19,0,0,1,1,
Petrides 2015,3,12.7,1.06,15.1,1.06,20,19,0,0,1,1,
Petrides 2015,4,11.5,1.06,16.6,1.06,20,19,0,0,1,1,
Petrides 2015,5,10.6,1.06,16.5,1.06,20,19,0,0,1,1,
Petrides 2015,6,10.1,1.06,15.9,1.06,20,19,0,0,1,1,
Petrides 2015,7,10.9,1.06,16.5,1.06,20,19,0,0,1,1,
Petrides 2015,8,11.3,1.06,17.42,1.06,20,19,0,0,1,1,
Sarkar 1994,0,24.6,7.3,28,7.8,15,15,0,1,0,0,
Sarkar 1994,1,14.1,7.5,16.7,8.1,15,15,0,1,0,0,
Sarkar 1994,2,8.2,6.3,8.7,4.5,15,15,0,1,0,0,
Sarkar 1994,3,8.1,5.1,7,4.7,15,15,0,1,0,0,
Sarkar 1994,4,8.7,5.2,8.2,7.5,15,15,0,1,0,0,
Sarkar 1994,5,7.7,8.5,7,8.6,15,15,0,1,0,0,
Sarkar 1994,6,6.6,9.7,6.1,6.3,15,15,0,1,0,0,
Sarkar 1994,24,1.8,2.1,3.6,3.9,13,11,0,1,0,0,
Tang 2003,0,27.4,12.65,29,12.6,15,15,1,1,1,1,
Tang 2003,1,20.47,8.68,26.73,11.91,15,15,1,1,1,1,
Tang 2003,4,21.53,10.94,27.87,10.74,15,15,1,1,1,1,
Tang 2003,8,21.6,11.52,27.27,9.63,15,15,1,1,1,1,
Ukpong 2002,0,22.33,7.83,19.43,7.28,9,7,0,1,0,0,
Ukpong 2002,2,6.56,6.23,8.29,5.47,9,7,0,1,0,0,
Ukpong 2002,4,3.67,4.21,4.14,3.85,9,7,0,1,0,0,
Ukpong 2002,6,7.22,10.47,5.19,7.04,9,7,0,1,0,0,
Ukpong 2002,8,1.33,2.5,3.14,3.54,9,7,0,1,0,0,
Ukpong 2002,12,1.11,1.69,1.43,1.81,9,7,0,1,0,0,
Ukpong 2002,16,1,3,1.57,4.16,9,7,0,1,0,0,
Ukpong 2002,20,1,3,1.29,3.42,9,7,0,1,0,0,
Taylor 1980,0,5.5,1.58,5.4,1.99,10,10,0,0,0,0,
Taylor 1980,2,2.6,2.97,4.1,4.99,10,10,0,0,0,0,
Taylor 1980,4,1.76,2.97,3.7,4.99,10,10,0,0,0,0,
Taylor 1980,8,1.83,4.99,2.96,3.98,10,10,0,0,0,0,
Taylor 1980,16,2.1,4.58,2.5,4.99,10,10,0,0,0,0,
Sarita 1998a,0,38.2,14.6,38.1,21.8,12,6,0,1,0,1,
Sarita 1998a,1,24.1,14.9,29.6,21.9,12,6,0,1,0,1,
Sarita 1998a,2,25,14.4,23.8,22.6,12,6,0,1,0,1,
Sarita 1998a,3,21.6,15.7,17.7,15,12,6,0,1,0,1,
Sarita 1998a,4,21,18.4,14.6,15.5,12,6,0,1,0,1,
Sarita 1998b,0,44.7,11.5,38.1,21.8,12,6,0,1,0,1,
Sarita 1998b,1,32.7,18.9,29.6,21.9,12,6,0,1,0,1,
Sarita 1998b,2,25.6,20.1,23.8,22.6,12,6,0,1,0,1,
Sarita 1998b,3,30.6,20.2,17.7,15,12,6,0,1,0,1,
Sarita 1998b,4,22.1,17.1,14.6,15.5,12,6,0,1,0,1,
Mishra 2022,0,70.69,9.6819,70.85,10.0101,30,30,0,0,1,1,
Mishra 2022,6,46.15,10.1742,60,10.393,30,30,0,0,1,1,
Mishra 2022,12,38.27,5.7982,50.74,10.5024,30,30,0,0,1,1,
Mishra 2022,24,34.42,6.7281,43.44,11.2135,30,30,0,0,1,1,